mapa,semente,n_pivos,tempo_precomp_ms,n_pivos_gerados,pivos_fora_maior_comp,primeiro_pivo_fora,frac_consultas_h_zero,h_medio
brc202d,42,50,75.150132,50,0,0,0.000392,549.834902
brc202d,42,100,165.126604,100,0,0,0.000392,550.361961
brc202d,123,10,22.983095,10,0,0,0.000392,542.324314
brc202d,123,20,29.532826,20,0,0,0.000392,547.977647
brc202d,123,50,74.849701,50,0,0,0.000392,550.096078
brc202d,123,100,165.779645,100,0,0,0.000392,550.462353
brc202d,456,10,22.930867,10,0,0,0.000392,543.973725
brc202d,456,20,29.737869,20,0,0,0.000784,548.104706
brc202d,456,50,74.896499,50,0,0,0.000392,549.993333
brc202d,456,100,165.796467,100,0,0,0.000392,550.440392
brc202d,789,10,23.511743,10,0,0,0.000392,545.329804
brc202d,789,20,29.596365,20,0,0,0.000392,547.972941
brc202d,789,50,75.303489,50,0,0,0.000392,549.963529
brc202d,789,100,167.418518,100,0,0,0.000392,550.413725
brc202d,1011,10,23.280250,10,0,0,0.000392,543.595686
brc202d,1011,20,29.747998,20,0,0,0.000392,548.121176
brc202d,1011,50,75.048492,50,0,0,0.000392,549.783137
brc202d,1011,100,165.840809,100,0,0,0.000392,550.448235
brc203d,42,10,11.022561,10,0,0,0.002326,279.432558
brc203d,42,20,13.993804,20,0,0,0.002326,281.638760
brc203d,42,50,34.973615,50,0,0,0.001550,283.082171
brc203d,42,100,70.374206,100,0,0,0.001550,283.431008
brc203d,123,10,7.406873,10,0,0,0.002326,279.996899
brc203d,123,20,13.917732,20,0,0,0.001550,280.782946
brc203d,123,50,34.912991,50,0,0,0.002326,283.105426
brc203d,123,100,70.623393,100,0,0,0.001550,283.406202
brc203d,456,10,7.375024,10,0,0,0.002326,280.001550
brc203d,456,20,14.076699,20,0,0,0.001550,280.733333
brc203d,456,50,35.228420,50,0,0,0.001550,282.820155
brc203d,456,100,70.881404,100,0,0,0.001550,283.400000
brc203d,789,10,7.379251,10,0,0,0.002326,277.683721
brc203d,789,20,13.832432,20,0,0,0.002326,281.644961
brc203d,789,50,34.904174,50,0,0,0.002326,282.893023
brc203d,789,100,70.442815,100,0,0,0.001550,283.328682
brc203d,1011,10,7.456816,10,0,0,0.002326,280.431008
brc203d,1011,20,13.839826,20,0,0,0.002326,281.655814
brc203d,1011,50,35.014901,50,0,0,0.001550,283.155039
brc203d,1011,100,70.699675,100,0,0,0.001550,283.345736
den000d,42,10,19.164467,10,0,0,0.001527,322.296947
den000d,42,20,32.045662,20,0,0,0.001527,325.524427
den000d,42,50,79.926059,50,0,0,0.001527,327.530534
den000d,42,100,170.192343,100,0,0,0.001527,328.182443
den000d,123,10,21.070951,10,0,0,0.001527,322.916794
