mapa,semente,padrao,nivel,n_pivos,pivos_iguais,celulas_comparadas,celulas_diferentes,frac_diferentes,viraram_inalcancaveis,dist_max_aumento
arena,42,Organic,0.1,10,1,20540,8172,0.397858,2229,26
arena,42,Organic,0.1,20,1,41080,13233,0.322128,6288,30
arena,42,Organic,0.1,50,1,102700,37653,0.366631,16636,28
arena,42,Organic,0.1,100,1,205400,68454,0.333272,31445,30
arena,42,Organic,0.2,10,1,20540,14076,0.685297,7889,26
arena,42,Organic,0.2,20,1,41080,25681,0.625146,12617,30
arena,42,Organic,0.2,50,1,102700,63765,0.620886,34682,30
arena,42,Organic,0.2,100,1,205400,119569,0.582128,63050,30
arena,42,Organic,0.3,10,1,20540,16959,0.825657,11114,60
arena,42,Organic,0.3,20,1,41080,34014,0.827994,18190,64
arena,42,Organic,0.3,50,1,102700,84720,0.824927,47465,68
arena,42,Organic,0.3,100,1,205400,164060,0.798734,92255,70
arena,42,Stochastic,0.1,10,1,20540,6076,0.295813,2059,10
arena,42,Stochastic,0.1,20,1,41080,12055,0.293452,4118,10
arena,42,Stochastic,0.1,50,1,102700,28462,0.277137,10292,10
arena,42,Stochastic,0.1,100,1,205400,58386,0.284255,20588,10
arena,42,Stochastic,0.2,10,1,20540,11823,0.575609,4185,28
arena,42,Stochastic,0.2,20,1,41080,24675,0.600657,8375,28
arena,42,Stochastic,0.2,50,1,102700,64755,0.630526,20933,36
arena,42,Stochastic,0.2,100,1,205400,127891,0.622644,41876,36
arena,42,Stochastic,0.3,10,1,20540,18088,0.880623,7879,40
arena,42,Stochastic,0.3,20,1,41080,37362,0.909494,15764,40
arena,42,Stochastic,0.3,50,1,102700,94219,0.91742,37995,40
arena,42,Stochastic,0.3,100,1,205400,186583,0.908389,74597,44
arena2,42,Radial,0.1,10,1,243110,141648,0.58265,136714,62
arena2,42,Radial,0.1,20,1,486220,284012,0.584122,275713,62
arena2,42,Radial,0.1,50,1,1215550,666412,0.548239,646217,62
arena2,42,Radial,0.1,100,1,2431100,1359782,0.559328,1301075,62
arena2,42,Radial,0.2,10,1,243110,187716,0.772144,151145,266
arena2,42,Radial,0.2,20,1,486220,392202,0.806635,331595,312
arena2,42,Radial,0.2,50,1,1215550,911714,0.750042,733240,348
arena2,42,Radial,0.2,100,1,2431100,1887953,0.776584,1493189,350
arena2,42,Radial,0.3,10,1,243110,222948,0.917066,193909,354
arena2,42,Radial,0.3,20,1,486220,438972,0.902826,388148,308
arena2,42,Radial,0.3,50,1,1215550,1107205,0.910868,943545,360
arena2,42,Radial,0.3,100,1,2431100,2208153,0.908294,1886262,358
arena2,42,Linear,0.1,10,1,243110,237071,0.975159,235976,64
arena2,42,Linear,0.1,20,1,486220,474397,0.975684,473364,64
arena2,42,Linear,0.1,50,1,1215550,1187726,0.97711,1182510,86
arena2,42,Linear,0.1,100,1,2431100,2369188,0.974533,2353013,108
arena2,42,Linear,0.2,10,1,243110,241275,0.992452,241157,20
arena2,42,Linear,0.2,20,1,486220,482349,0.992039,481675,30
arena2,42,Linear,0.2,50,1,1215550,1204961,0.991289,1203289,38
arena2,42,Linear,0.2,100,1,2431100,2408979,0.990901,2404805,54
arena2,42,Linear,0.3,10,1,243110,241777,0.994517,241652,26
arena2,42,Linear,0.3,20,1,486220,484273,0.995996,484138,26
arena2,42,Linear,0.3,50,1,1215550,1210874,0.996153,1210618,26
arena2,42,Linear,0.3,100,1,2431100,2420973,0.995834,2420415,26
arena2,42,Sparse,0.1,10,1,243110,155605,0.64006,102452,202
arena2,42,Sparse,0.1,20,1,486220,279919,0.575704,164651,216
arena2,42,Sparse,0.1,50,1,1215550,734187,0.603996,411510,286
arena2,42,Sparse,0.1,100,1,2431100,1423352,0.585477,763705,294
arena2,42,Sparse,0.2,10,1,243110,224801,0.924688,204542,258
arena2,42,Sparse,0.2,20,1,486220,439380,0.903665,380363,280
arena2,42,Sparse,0.2,50,1,1215550,1101758,0.906386,958220,332
arena2,42,Sparse,0.2,100,1,2431100,2164714,0.890426,1813379,334
arena2,42,Sparse,0.3,10,1,243110,237015,0.974929,226532,126
arena2,42,Sparse,0.3,20,1,486220,460859,0.94784,443076,148
arena2,42,Sparse,0.3,50,1,1215550,1161769,0.955756,1124678,178
arena2,42,Sparse,0.3,100,1,2431100,2299327,0.945797,2191781,190
arena2,42,Organic,0.1,10,1,243110,156102,0.642104,131049,122
arena2,42,Organic,0.1,20,1,486220,329967,0.678637,286323,114
arena2,42,Organic,0.1,50,1,1215550,833400,0.685616,747970,124
arena2,42,Organic,0.1,100,1,2431100,1709892,0.703341,1538652,144
arena2,42,Organic,0.2,10,1,243110,217096,0.892995,212430,58
arena2,42,Organic,0.2,20,1,486220,447119,0.919582,435607,56
